"Time (s)","X (hPa)"
-5.392108750E-1,1.006428680E3
4.891861250E-1,1.006442261E3
1.517662125E0,1.006455917E3
2.546121125E0,1.006472855E3
3.574549125E0,1.006485138E3
3.772758125E0,1.006498184E3
4.834380125E0,1.006502914E3
5.896043125E0,1.006517181E3
6.957625125E0,1.006535721E3
8.019175125E0,1.006555557E3
9.080751125E0,1.006582642E3
1.014236413E1,1.006603241E3
1.120400012E1,1.006603241E3
1.226558513E1,1.006593704E3
1.332721413E1,1.006577225E3
1.438885412E1,1.006549377E3
1.545047913E1,1.006518478E3
1.651205413E1,1.006509857E3
1.757366412E1,1.006509857E3
1.863528013E1,1.006519394E3
1.969688713E1,1.006519394E3
2.075847112E1,1.006517410E3
2.182007513E1,1.006515350E3
2.288169712E1,1.006505432E3
2.394328712E1,1.006487274E3
2.500486312E1,1.006464233E3
2.606643712E1,1.006462708E3
2.712804713E1,1.006464233E3
2.818964813E1,1.006479111E3
2.925127212E1,1.006502228E3
3.031286513E1,1.006535187E3
3.137450512E1,1.006569290E3
3.243613913E1,1.006597900E3
3.349771512E1,1.006602707E3
3.455934612E1,1.006602707E3
3.562095613E1,1.006600113E3
3.668259713E1,1.006594696E3
3.774420112E1,1.006589890E3
3.880580412E1,1.006588364E3
3.986736913E1,1.006588364E3
4.092896913E1,1.006591721E3
4.199058713E1,1.006593475E3
4.305221513E1,1.006598282E3
4.411381613E1,1.006605072E3
4.517541612E1,1.006612015E3
4.623705613E1,1.006612015E3
4.729870213E1,1.006610031E3
4.836028413E1,1.006605453E3
4.942194213E1,1.006605453E3
5.048359012E1,1.006614075E3
5.154520312E1,1.006624146E3
5.260678412E1,1.006643600E3
5.366836712E1,1.006666260E3
5.472999612E1,1.006678009E3
5.579159713E1,1.006684799E3
5.685322713E1,1.006691589E3
5.791486812E1,1.006691589E3
5.897648712E1,1.006689072E3
6.003817513E1,1.006677246E3
6.109983012E1,1.006659546E3
6.216146013E1,1.006653824E3
6.322308512E1,1.006651382E3
6.428467612E1,1.006651382E3
6.534623213E1,1.006665421E3
6.640781012E1,1.006692200E3
6.746940613E1,1.006721420E3
6.853104313E1,1.006721420E3
6.959264713E1,1.006719284E3
7.065425213E1,1.006690521E3
7.171582213E1,1.006663284E3
7.277744612E1,1.006628647E3
7.383906813E1,1.006602936E3
7.490070112E1,1.006602936E3
7.596230513E1,1.006608124E3
7.702392513E1,1.006629410E3
7.808553713E1,1.006633911E3
7.914712612E1,1.006647263E3
8.020872713E1,1.006653900E3
8.127031412E1,1.006662216E3
8.233187813E1,1.006669617E3
8.339344712E1,1.006670074E3
8.445505713E1,1.006677017E3
8.551664312E1,1.006682510E3
8.657824212E1,1.006682510E3
8.763985013E1,1.006674423E3
8.870143812E1,1.006664429E3
8.976298912E1,1.006664352E3
9.082457412E1,1.006646500E3
9.188615512E1,1.006628647E3
9.294777712E1,1.006623383E3
9.400945313E1,1.006615753E3
9.507102213E1,1.006599808E3
9.613258512E1,1.006588821E3
9.719410712E1,1.006584854E3
9.825571312E1,1.006583176E3
9.931731313E1,1.006583176E3
1.003789001E2,1.006584015E3
1.014404981E2,1.006600342E3
1.025021241E2,1.006607895E3
1.035636941E2,1.006622314E3
1.046252541E2,1.006631317E3
1.056867691E2,1.006631317E3
1.067482571E2,1.006629791E3
1.078098351E2,1.006624603E3
1.088714071E2,1.006609192E3
1.099329501E2,1.006592560E3
1.109945081E2,1.006589432E3
1.120560971E2,1.006586761E3
1.131176651E2,1.006589432E3
1.141792211E2,1.006594315E3
1.152407881E2,1.006597824E3
1.163023021E2,1.006598511E3
1.173638511E2,1.006598892E3
1.184253501E2,1.006601028E3
1.194868881E2,1.006603088E3
1.205483761E2,1.006609039E3
1.216098731E2,1.006615372E3
1.226713891E2,1.006618652E3
1.237329231E2,1.006623688E3
1.247944361E2,1.006625900E3
1.258559821E2,1.006630325E3
1.269175261E2,1.006630859E3
1.279790301E2,1.006631165E3
1.290406431E2,1.006631165E3
1.301022111E2,1.006627502E3
1.311637711E2,1.006627502E3
1.322253451E2,1.006629410E3
1.332869411E2,1.006631546E3
1.343484911E2,1.006641693E3
1.354100481E2,1.006650925E3
1.364716101E2,1.006651535E3
1.375332101E2,1.006653366E3
1.385947781E2,1.006653595E3
1.396563581E2,1.006653595E3
1.407179251E2,1.006649399E3
1.417794951E2,1.006640167E3
1.428410481E2,1.006633453E3
1.439026081E2,1.006622314E3
1.449642171E2,1.006611481E3
1.460257601E2,1.006606064E3
1.470873031E2,1.006602707E3
1.481488431E2,1.006601791E3
1.492104061E2,1.006601410E3
1.502719351E2,1.006599731E3
1.513335071E2,1.006595078E3
1.523950861E2,1.006595078E3
1.534566061E2,1.006596375E3
1.545181581E2,1.006598663E3
1.555797311E2,1.006607056E3
1.566412691E2,1.006620026E3
1.577028001E2,1.006639557E3
1.587643371E2,1.006656799E3
1.598258771E2,1.006671600E3
1.608874191E2,1.006679993E3
1.619489041E2,1.006679993E3
1.630103611E2,1.006675491E3
1.640718591E2,1.006663971E3
1.651333641E2,1.006655579E3
1.661948851E2,1.006652527E3
1.672563731E2,1.006652527E3
1.683178261E2,1.006659393E3
1.693792961E2,1.006672821E3
1.704407781E2,1.006684189E3
1.715022701E2,1.006688614E3
1.725637721E2,1.006688614E3
1.736252941E2,1.006687469E3
1.746867771E2,1.006673889E3
1.757482811E2,1.006660767E3
1.768098381E2,1.006650848E3
1.778713601E2,1.006637192E3
1.789328981E2,1.006628342E3
1.799944831E2,1.006625290E3
1.810560151E2,1.006624832E3
1.821175311E2,1.006624832E3
1.831790321E2,1.006632004E3
1.842405351E2,1.006636810E3
1.853020721E2,1.006643524E3
1.863636181E2,1.006648636E3
1.874251691E2,1.006648636E3
1.884867311E2,1.006648636E3
1.895483011E2,1.006647263E3
1.906098831E2,1.006646881E3
1.916714381E2,1.006637421E3
1.927329531E2,1.006626892E3
1.937944641E2,1.006613464E3
1.948559521E2,1.006599884E3
1.959174631E2,1.006597900E3
1.969790081E2,1.006597900E3
1.980405411E2,1.006602936E3
1.991020421E2,1.006613388E3
2.001635451E2,1.006615906E3
2.012250481E2,1.006615906E3
2.022865771E2,1.006602325E3
2.033481181E2,1.006598053E3
2.044096291E2,1.006589050E3
2.054711391E2,1.006586533E3
2.065326451E2,1.006586533E3
2.075941481E2,1.006595535E3
2.086556601E2,1.006608963E3
2.097171601E2,1.006627579E3
2.107786191E2,1.006650543E3
2.118401001E2,1.006669693E3
2.129015911E2,1.006692734E3
2.139630591E2,1.006712189E3
2.150245721E2,1.006720123E3
2.160860581E2,1.006720123E3
2.171475381E2,1.006711502E3
2.182090431E2,1.006693497E3
2.192705311E2,1.006669235E3
2.203319831E2,1.006651764E3
2.213934171E2,1.006645813E3
2.224548421E2,1.006645813E3
2.235162781E2,1.006653442E3
2.245777761E2,1.006664352E3
2.256392031E2,1.006666870E3
2.267006631E2,1.006666870E3
2.277620781E2,1.006660995E3
2.288234881E2,1.006649017E3
2.298849301E2,1.006637878E3
2.309463611E2,1.006620178E3
2.320078001E2,1.006609421E3
2.330692531E2,1.006599808E3
2.341306781E2,1.006591797E3
2.351921061E2,1.006591797E3
2.362535461E2,1.006597900E3
2.373149661E2,1.006597900E3
2.383764261E2,1.006597214E3
2.394378851E2,1.006597214E3
2.404993691E2,1.006597214E3
2.415608611E2,1.006582260E3
2.426222911E2,1.006569901E3
2.436837341E2,1.006569214E3
2.447451841E2,1.006569214E3
2.458066281E2,1.006568985E3
2.468680801E2,1.006570435E3
2.479295101E2,1.006570435E3
2.489910091E2,1.006585464E3
2.500525021E2,1.006585464E3
2.511139561E2,1.006585464E3
2.521754561E2,1.006586761E3
2.532369091E2,1.006586761E3
2.542983941E2,1.006583786E3
2.553599021E2,1.006571503E3
2.564213521E2,1.006571503E3
2.574827951E2,1.006585846E3
2.585441731E2,1.006591339E3
2.596055701E2,1.006595078E3
2.606669901E2,1.006610641E3
2.617284151E2,1.006610641E3
2.627898771E2,1.006601257E3
2.638512891E2,1.006593170E3
2.649127481E2,1.006590652E3
2.659741721E2,1.006593170E3
2.670355901E2,1.006604614E3
2.680970361E2,1.006617661E3
2.691584781E2,1.006638870E3
2.702199451E2,1.006654129E3
2.712814171E2,1.006665649E3
2.723428781E2,1.006674957E3
2.734042401E2,1.006684189E3
2.744656731E2,1.006686020E3
2.755271001E2,1.006692810E3
2.765885541E2,1.006689682E3
2.776500111E2,1.006691132E3
2.787114221E2,1.006689682E3
2.797728041E2,1.006678696E3
