"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.971652746E-1,5.235586067E1,4.900460727E0,1.983205123E0,2.600458217E0,1.544548950E2,1.426066552E1,1.005257441E1
1.797163129E0,5.235584077E1,4.900475329E0,2.122082578E0,2.556088262E0,1.544548950E2,1.426061183E1,1.005265058E1
2.797161460E0,5.235581353E1,4.900485202E0,2.140435212E0,2.682294083E0,1.544548950E2,1.425906297E1,1.005484741E1
3.797160268E0,5.235578701E1,4.900503700E0,2.204369701E0,3.057330493E0,1.547766113E2,1.425911427E1,1.005477466E1
4.797159076E0,5.235576052E1,4.900536967E0,2.042115020E0,3.273737522E0,1.547766113E2,1.426048766E1,1.005282672E1
5.797157645E0,5.235573308E1,4.900558869E0,1.630158490E0,3.412756262E0,1.547766113E2,1.425864392E1,1.005544166E1
6.797155738E0,5.235569275E1,4.900585104E0,1.516757770E0,3.714158537E0,1.530358734E2,1.424242763E1,1.007839713E1
7.797154188E0,5.235565689E1,4.900615818E0,1.849885678E0,4.167306180E0,1.526174469E2,1.424240547E1,1.007842844E1
8.797152638E0,5.235562383E1,4.900638582E0,1.631447103E0,4.048607781E0,1.526174469E2,1.424258618E1,1.007817306E1
9.797150373E0,5.235558721E1,4.900654904E0,1.796885273E0,4.102358858E0,1.526174469E2,1.424271446E1,1.007799176E1
1.079714918E1,5.235555582E1,4.900681981E0,1.836272342E0,4.018177181E0,1.524667969E2,1.424230293E1,1.007857334E1
1.179714763E1,5.235552616E1,4.900706556E0,2.285188756E0,3.736329709E0,1.524667969E2,1.424245292E1,1.007836138E1
1.279714608E1,5.235549379E1,4.900722597E0,2.227094282E0,3.568816515E0,1.524667969E2,1.424196960E1,1.007904436E1
1.379714513E1,5.235546127E1,4.900733680E0,2.280570168E0,3.549322653E0,1.524667969E2,1.424194978E1,1.007907236E1
1.479714310E1,5.235543465E1,4.900751762E0,2.248899451E0,3.334202238E0,1.537237701E2,1.424172268E1,1.007939326E1
1.579714215E1,5.235540632E1,4.900777768E0,2.450397745E0,3.554795617E0,1.537237701E2,1.424210711E1,1.007885005E1
1.679702854E1,5.235537853E1,4.900803826E0,2.382884706E0,3.691446451E0,1.537237701E2,1.424226883E1,1.007862152E1
1.779702711E1,5.235534594E1,4.900827023E0,2.560170301E0,3.901749409E0,1.537237701E2,1.424262089E1,1.007812400E1
1.879702508E1,5.235531350E1,4.900854063E0,2.958958475E0,4.023066819E0,1.537237701E2,1.424274466E1,1.007794908E1
1.979702866E1,5.235527949E1,4.900874626E0,2.580348155E0,4.077217626E0,1.537237701E2,1.424272793E1,1.007797273E1
2.079702711E1,5.235524498E1,4.900904372E0,2.640897138E0,4.247576593E0,1.537237701E2,1.424285310E1,1.007779583E1
2.179702914E1,5.235521395E1,4.900919382E0,1.728590998E0,3.904808436E0,1.546669464E2,1.424268828E1,1.007802877E1
2.279703426E1,5.235517673E1,4.900959498E0,2.398743631E0,4.408865410E0,1.548000793E2,1.424230020E1,1.007857720E1
2.379703212E1,5.235513827E1,4.900987780E0,2.802397950E0,4.618365168E0,1.548000793E2,1.424280458E1,1.007786440E1
2.479703462E1,5.235510256E1,4.901011482E0,2.662788434E0,4.482765016E0,1.548000793E2,1.424216400E1,1.007876966E1
2.579703581E1,5.235506729E1,4.901043130E0,2.615713283E0,4.451331718E0,1.548000793E2,1.424141215E1,1.007983200E1
2.679703784E1,5.235503278E1,4.901070926E0,2.488830136E0,4.341992161E0,1.560787964E2,1.424170216E1,1.007942224E1
2.779704010E1,5.235499485E1,4.901093497E0,2.533414594E0,4.409003862E0,1.560787964E2,1.424125619E1,1.008005235E1
2.879704332E1,5.235496430E1,4.901127001E0,2.475387985E0,4.108138084E0,1.560787964E2,1.424190338E1,1.007913794E1
2.979704571E1,5.235492688E1,4.901152524E0,2.497428044E0,4.295611045E0,1.560787964E2,1.424185589E1,1.007920503E1
3.079704821E1,5.235489671E1,4.901170503E0,2.418525857E0,3.882162614E0,1.599711914E2,1.424219089E1,1.007873167E1
3.179705107E1,5.235486138E1,4.901174182E0,2.781633727E0,3.824063901E0,1.574063110E2,1.424200429E1,1.007899534E1
3.279705238E1,5.235482865E1,4.901144437E0,2.987718204E0,3.770710721E0,1.574063110E2,1.424215488E1,1.007878254E1
3.379705465E1,5.235480813E1,4.901092750E0,3.520865284E0,3.645513733E0,2.417955627E2,1.424117389E1,1.008016862E1
3.479705596E1,5.235478618E1,4.901022793E0,3.264773465E0,4.381241166E0,2.394830933E2,1.424186184E1,1.007919663E1
3.579705739E1,5.235476863E1,4.900963959E0,3.126931096E0,4.349261655E0,2.394830933E2,1.424220182E1,1.007871622E1
3.679705894E1,5.235474519E1,4.900903665E0,2.673771006E0,4.571159490E0,2.394830933E2,1.424237019E1,1.007847829E1
3.779705989E1,5.235472125E1,4.900842511E0,2.820396757E0,4.732420825E0,2.439019470E2,1.424230299E1,1.007857325E1
3.879706180E1,5.235470280E1,4.900775141E0,2.899593796E0,4.816068314E0,2.439019470E2,1.424120764E1,1.008012095E1
