"Time (s)","Distance (cm)"
1.895095833E-2,5.000000000E0
4.314593417E0,0.000000000E0
5.897669596E1,5.000000000E0
5.939188879E1,0.000000000E0
5.947518800E1,5.000000000E0
7.729593467E1,0.000000000E0
7.794603146E1,5.000000000E0
7.809607733E1,0.000000000E0
7.812940958E1,5.000000000E0
9.023214433E1,0.000000000E0
9.053221521E1,5.000000000E0
9.776718167E1,0.000000000E0
1.550797975E2,5.000000000E0
1.576324755E2,0.000000000E0
1.608498652E2,5.000000000E0
1.695000234E2,0.000000000E0
1.983730145E2,5.000000000E0
2.008049210E2,0.000000000E0
2.421140183E2,5.000000000E0
2.442161214E2,0.000000000E0
2.503008230E2,5.000000000E0
2.526678967E2,0.000000000E0
2.951605853E2,5.000000000E0
2.964756441E2,0.000000000E0
3.356176059E2,5.000000000E0
3.377679839E2,0.000000000E0
3.714753881E2,5.000000000E0
3.720096736E2,0.000000000E0
3.972986138E2,5.000000000E0
3.994146932E2,0.000000000E0
4.515595248E2,5.000000000E0
4.536618500E2,0.000000000E0
5.061566403E2,5.000000000E0
5.073391780E2,0.000000000E0
5.076059211E2,5.000000000E0
5.077726160E2,0.000000000E0
5.079893498E2,5.000000000E0
5.147742085E2,0.000000000E0
5.153242674E2,5.000000000E0
5.211923038E2,0.000000000E0
5.217924461E2,5.000000000E0
5.238928546E2,0.000000000E0
5.315946055E2,5.000000000E0
5.344281376E2,0.000000000E0
5.345115094E2,5.000000000E0
5.457640341E2,0.000000000E0
5.458473684E2,5.000000000E0
5.462307975E2,0.000000000E0
5.463974919E2,5.000000000E0
5.621677341E2,0.000000000E0
5.622009996E2,5.000000000E0
5.874233835E2,0.000000000E0
5.878400868E2,5.000000000E0
6.310831383E2,0.000000000E0
6.363343899E2,5.000000000E0
6.489687713E2,0.000000000E0
6.542366178E2,5.000000000E0
6.583878928E2,0.000000000E0
6.620886657E2,5.000000000E0
6.642547011E2,0.000000000E0
7.716949923E2,5.000000000E0
7.738621698E2,0.000000000E0
8.330251866E2,5.000000000E0
8.350759465E2,0.000000000E0
8.847745145E2,5.000000000E0
8.869528373E2,0.000000000E0
