"Time (s)","Pressure (hPa)"
2.896050300E-2,1.025461182E3
1.289725030E-1,1.025468506E3
2.289725030E-1,1.025424561E3
3.289725030E-1,1.025406006E3
4.289725030E-1,1.025403809E3
5.289725030E-1,1.025395752E3
6.289683030E-1,1.025377686E3
7.289681360E-1,1.025389648E3
8.289679930E-1,1.025382568E3
9.289653680E-1,1.025380371E3
1.028965256E0,1.025346924E3
1.128963256E0,1.025337891E3
1.228963165E0,1.025362549E3
1.328963248E0,1.025378906E3
1.428963248E0,1.025386963E3
1.528963176E0,1.025372070E3
1.628963109E0,1.025356445E3
1.728963046E0,1.025355225E3
1.828963046E0,1.025367920E3
1.928962990E0,1.025356689E3
2.028962990E0,1.025362061E3
2.128962990E0,1.025354004E3
2.228962990E0,1.025344971E3
2.328962944E0,1.025349365E3
2.428962944E0,1.025315186E3
2.528962902E0,1.025320801E3
2.628962862E0,1.025303955E3
2.731865614E0,1.025299805E3
2.831865614E0,1.025295166E3
2.931865578E0,1.025298096E3
3.031865578E0,1.025292236E3
3.131864878E0,1.025303467E3
3.231864878E0,1.025305176E3
3.331864878E0,1.025318604E3
3.431864844E0,1.025336914E3
3.531864810E0,1.025335938E3
3.631865510E0,1.025357422E3
3.731865510E0,1.025363525E3
3.831865543E0,1.025366699E3
3.931866243E0,1.025365723E3
