"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.533893500E-2,-9.178250283E-2,1.902081668E-1,-7.124216110E-2
2.733893500E-2,-9.178250283E-2,1.902081668E-1,-7.124216110E-2
3.733893500E-2,-9.178250283E-2,1.902081668E-1,-7.124216110E-2
4.733893500E-2,-9.178250283E-2,1.902081668E-1,-7.124216110E-2
5.733893500E-2,-9.178250283E-2,1.902081668E-1,-7.124216110E-2
6.733893500E-2,-9.178250283E-2,1.902081668E-1,-7.124216110E-2
7.733893500E-2,-9.178250283E-2,1.902081668E-1,-7.124216110E-2
8.733693500E-2,-1.437060535E-1,-1.213331074E-1,8.781188168E-3
9.733693500E-2,-2.157881409E-1,-1.152244583E-1,-2.970332280E-2
1.073369350E-1,-2.622139156E-1,-9.384417534E-2,-5.963572115E-2
1.173356010E-1,-2.866485119E-1,-4.375322163E-2,-1.097266674E-1
1.273335010E-1,-2.438879460E-1,2.160935849E-2,-1.249983013E-1
1.373335010E-1,-1.840231568E-1,6.314819306E-2,-1.146135926E-1
1.473335010E-1,-1.369865239E-1,7.841982692E-2,-1.201113760E-1
1.573335010E-1,-1.192714423E-1,5.093089119E-2,-1.359938681E-1
1.673335010E-1,-1.357648075E-1,-8.933904581E-3,-1.579850167E-1
1.773335010E-1,-1.846340150E-1,-9.078984708E-2,-1.903608888E-1
1.873335010E-1,-2.347249687E-1,-2.025781870E-1,-2.105194330E-1
1.973335010E-1,-2.622139156E-1,-3.308598995E-1,-2.105194330E-1
2.073335010E-1,-2.554943860E-1,-4.450916946E-1,-2.105194330E-1
2.173335010E-1,-2.182316035E-1,-4.976260960E-1,-2.294562608E-1
2.273335010E-1,-1.925752759E-1,-4.579198658E-1,-2.202932835E-1
2.373335010E-1,-1.638645977E-1,-3.595705628E-1,-1.714240611E-1
2.473335010E-1,-1.302670091E-1,-2.373975068E-1,-1.060614809E-1
2.573335010E-1,-1.125519201E-1,-1.304960847E-1,-5.291620269E-2
2.673335010E-1,-1.003346145E-1,-7.368562371E-2,-2.176207490E-2
2.773335010E-1,-9.605856240E-2,-5.963572115E-2,-2.214386594E-3
2.873335010E-1,-1.168279797E-1,-8.407033235E-2,-8.933904581E-3
2.973335010E-1,-1.699732542E-1,-1.231657043E-1,-2.176207490E-2
3.073335010E-1,-3.190243840E-1,-2.257910669E-1,2.290744742E-4
3.173335010E-1,-4.375322461E-1,-4.176027477E-1,1.315651089E-1
3.273335010E-1,-5.829181671E-1,-6.998224854E-1,3.655264974E-1
3.373335010E-1,-7.038694620E-1,-8.678104281E-1,5.585598946E-1
3.473335010E-1,-7.564038634E-1,-8.678104281E-1,6.446918845E-1
3.573335010E-1,-6.244570017E-1,-7.932848930E-1,6.758460402E-1
3.673335010E-1,-3.715587854E-1,-7.297548652E-1,5.506186485E-1
3.773335010E-1,-2.420553565E-1,-7.535786629E-1,2.928335369E-1
3.873339010E-1,-3.336851299E-1,-8.293259144E-1,-1.158353239E-1
3.973339010E-1,-8.248208165E-1,-1.102993608E0,-7.517460585E-1
