"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.533893500E-2,3.130002737E0,-1.318391895E1,-1.035078049E1
4.533893500E-2,3.149206400E0,-1.317502594E1,-1.035179043E1
5.533893500E-2,3.168390989E0,-1.316612530E1,-1.035275459E1
6.533893500E-2,3.187586546E0,-1.315722275E1,-1.035367298E1
7.533893500E-2,3.206774473E0,-1.314828396E1,-1.035454941E1
8.533593500E-2,3.225950718E0,-1.313933182E1,-1.035538006E1
9.533593500E-2,3.214015007E0,-1.312529850E1,-1.035653114E1
1.053359350E-1,3.202996254E0,-1.310422325E1,-1.035822868E1
1.153342200E-1,3.194281101E0,-1.307863140E1,-1.036023808E1
1.253315950E-1,3.190837860E0,-1.305066013E1,-1.036238670E1
1.353315950E-1,3.193868876E0,-1.302687836E1,-1.036418533E1
1.453315950E-1,3.200850964E0,-1.300895119E1,-1.036552620E1
1.553315950E-1,3.209365129E0,-1.299559116E1,-1.036651516E1
1.653315950E-1,3.215264797E0,-1.298398304E1,-1.036734772E1
1.753315950E-1,3.215450287E0,-1.297075367E1,-1.036825562E1
1.853315950E-1,3.207816839E0,-1.295276833E1,-1.036943150E1
1.953315950E-1,3.189329386E0,-1.292988682E1,-1.037082100E1
2.053315950E-1,3.158226252E0,-1.290439415E1,-1.037217236E1
2.153315950E-1,3.115888119E0,-1.287962055E1,-1.037316990E1
2.253315950E-1,3.068455935E0,-1.285934734E1,-1.037357616E1
2.353315950E-1,3.024800777E0,-1.284278774E1,-1.037359524E1
2.453315950E-1,2.990497828E0,-1.282992744E1,-1.037344551E1
2.553315950E-1,-2.763513029E-1,7.443982124E0,-4.485644817E0
2.653315950E-1,-3.391185403E-1,7.479085445E0,-4.411389828E0
2.753315950E-1,-3.533706665E-1,7.560105324E0,-4.442527771E0
2.853315950E-1,-3.663080633E-1,7.659112930E0,-4.540678024E0
2.953315950E-1,-3.887671232E-1,7.768986702E0,-4.739370823E0
3.053315950E-1,-3.814228177E-1,7.778107643E0,-4.957613945E0
3.153315950E-1,-3.076077402E-1,7.689105034E0,-5.185448647E0
3.253315950E-1,-4.206988811E-1,7.576464653E0,-5.293262005E0
3.353315950E-1,-5.838339925E-1,7.520320892E0,-5.227711678E0
3.453315950E-1,-7.183111906E-1,7.554440022E0,-4.758385658E0
3.553315950E-1,-4.766965210E-1,7.678501606E0,-4.168611526E0
