"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.691213499E0,5.219228907E1,5.405164902E0,4.838446842E0,2.739795876E1,1.394311523E2,6.000000000E0,4.429154396E0
2.699489883E0,5.219210198E1,5.405419910E0,4.567556212E0,2.742353058E1,1.394422760E2,6.000000000E0,4.332335949E0
3.715367382E0,5.219191319E1,5.405679305E0,4.345297075E0,2.746467781E1,1.394448242E2,6.000000000E0,4.255322456E0
4.700804881E0,5.219172698E1,5.405939520E0,4.199610926E0,2.743860435E1,1.393542786E2,6.000000000E0,4.181416512E0
5.701756573E0,5.219153907E1,5.406203176E0,3.770761599E0,2.746086311E1,1.391850739E2,4.000000000E0,4.108816624E0
6.705336611E0,5.219135176E1,5.406466950E0,3.733392008E0,2.762810707E1,1.391904602E2,6.000000000E0,3.672016382E0
7.705536264E0,5.219116536E1,5.406730288E0,3.439270251E0,2.747975349E1,1.393843536E2,6.000000000E0,3.332811594E0
8.714052417E0,5.219098095E1,5.406988222E0,3.377707277E0,2.744524002E1,1.395000610E2,6.000000000E0,3.072849751E0
9.705429647E0,5.219079396E1,5.407248585E0,3.599022799E0,2.742394066E1,1.395517426E2,6.000000000E0,3.000000000E0
1.069125761E1,5.219060688E1,5.407512354E0,3.642084097E0,2.738065720E1,1.395114746E2,4.000000000E0,3.000000000E0
1.171902861E1,5.219041957E1,5.407771765E0,3.891981888E0,2.723309517E1,1.394784393E2,6.000000000E0,3.000000000E0
1.270890088E1,5.219023413E1,5.408031321E0,4.019284226E0,2.741785240E1,1.387711182E2,8.000000000E0,3.000000000E0
1.371283641E1,5.219004537E1,5.408291482E0,3.900212301E0,2.742042160E1,1.392953491E2,8.000000000E0,3.000000000E0
1.470943041E1,5.218986344E1,5.408550495E0,3.829802597E0,2.745826530E1,1.392543030E2,6.000000000E0,3.000000000E0
1.570687114E1,5.218967752E1,5.408809463E0,3.674331210E0,2.746970177E1,1.393636932E2,6.000000000E0,3.000000000E0
1.670519033E1,5.218949110E1,5.409069838E0,3.689483548E0,2.745714378E1,1.393671112E2,6.000000000E0,3.000000000E0
