"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.382608300E-2,4.429273009E-1,6.409577370E0,7.156568050E0
1.581508300E-2,3.687070608E-1,6.464643955E0,7.075165272E0
1.781508300E-2,3.040636182E-1,6.514922142E0,7.003339291E0
1.981508300E-2,2.513911724E-1,6.562806129E0,6.931513309E0
2.181508300E-2,2.082955539E-1,6.608295918E0,6.864475727E0
2.381508300E-2,2.035071403E-1,6.637026310E0,6.775889874E0
2.580988300E-2,1.987187415E-1,6.658574104E0,6.706458092E0
2.780554900E-2,2.011129409E-1,6.672939301E0,6.648997307E0
2.980183400E-2,2.082955539E-1,6.682516098E0,6.601113319E0
3.179858400E-2,2.130839527E-1,6.689698696E0,6.562806129E0
3.379602800E-2,2.202665508E-1,6.694487095E0,6.531681538E0
3.579602800E-2,2.250549644E-1,6.699275494E0,6.505345345E0
3.779602800E-2,2.298433632E-1,6.701669693E0,6.486191750E0
3.979602800E-2,2.346317619E-1,6.706458092E0,6.471826553E0
4.179602800E-2,2.394201756E-1,6.713640690E0,6.462249756E0
4.379602800E-2,2.394201756E-1,6.730400085E0,6.455067158E0
4.579602800E-2,2.370259613E-1,6.747159481E0,6.450278759E0
4.779609000E-2,2.298433632E-1,6.766313076E0,6.450278759E0
4.979614800E-2,2.226607651E-1,6.783072472E0,6.452672958E0
5.179620300E-2,2.154781520E-1,6.797437668E0,6.464643955E0
5.379625500E-2,2.130839527E-1,6.811803341E0,6.479009151E0
5.579630500E-2,2.082955539E-1,6.823774338E0,6.495768547E0
5.779635200E-2,2.011129409E-1,6.835745335E0,6.514922142E0
5.979639700E-2,1.915361285E-1,6.847716331E0,6.541258335E0
6.179526600E-2,1.843535304E-1,6.857293129E0,6.567594528E0
6.379414100E-2,2.059013397E-1,6.869264126E0,6.637026310E0
6.579310100E-2,2.298433632E-1,6.881235123E0,6.701669693E0
6.779206200E-2,2.585737705E-1,6.888417721E0,6.756736279E0
6.979109900E-2,2.801215947E-1,6.895600319E0,6.802226067E0
7.179017000E-2,2.968810201E-1,6.900388718E0,6.838139534E0
7.378930700E-2,3.160346150E-1,6.902782917E0,6.874052525E0
7.578850700E-2,3.303998411E-1,6.902782917E0,6.902782917E0
7.778850700E-2,3.471592367E-1,6.902782917E0,6.933907509E0
7.978854000E-2,3.711012602E-1,6.902782917E0,6.974608898E0
8.178857300E-2,3.950432837E-1,6.905177116E0,7.015310287E0
8.378857300E-2,4.118026793E-1,6.909965515E0,7.063194275E0
8.576157300E-2,4.285621047E-1,6.917148113E0,7.120655060E0
8.776157300E-2,4.453215301E-1,6.924330711E0,7.173327446E0
8.975757300E-2,4.620809257E-1,6.936301708E0,7.230788231E0
9.175757300E-2,4.836287498E-1,6.953061104E0,7.293037415E0
9.375757300E-2,5.099649429E-1,6.974608898E0,7.357681274E0
9.575723900E-2,5.410895944E-1,6.991368294E0,7.415142059E0
9.775709600E-2,5.841852427E-1,7.010521889E0,7.484573841E0
9.975697100E-2,6.296750307E-1,7.027281284E0,7.549217224E0
1.017568590E-1,6.871358752E-1,7.036858082E0,7.618649006E0
1.037567590E-1,8.379706144E-1,7.029675484E0,7.752724171E0
1.057543040E-1,9.648633003E-1,7.022492886E0,7.867646217E0
1.077520540E-1,1.065419793E0,7.017704487E0,7.958625793E0
1.097499770E-1,1.151610970E0,7.015310287E0,8.040028572E0
1.117480480E-1,1.225831270E0,7.010521889E0,8.111854553E0
1.137475140E-1,1.285686255E0,7.008127689E0,8.169315338E0
1.157462640E-1,1.333570361E0,7.005733490E0,8.214805603E0
1.177462050E-1,1.379060149E0,7.008127689E0,8.267477989E0
1.197461490E-1,1.419761658E0,7.010521889E0,8.317755699E0
1.217460960E-1,1.455674648E0,7.012916088E0,8.372822762E0
1.237460460E-1,1.486799240E0,7.017704487E0,8.427888870E0
1.257460460E-1,1.510741234E0,7.017704487E0,8.480561256E0
1.277460460E-1,1.522712231E0,7.012916088E0,8.528446198E0
1.297460460E-1,1.525106430E0,7.008127689E0,8.573935509E0
1.317460460E-1,1.520318031E0,7.003339291E0,8.612242699E0
1.337460460E-1,1.491587639E0,6.996156693E0,8.645761490E0
1.357460460E-1,1.458068848E0,6.988974094E0,8.669703484E0
1.377460460E-1,1.412579060E0,6.981791496E0,8.684068680E0
1.397460460E-1,1.369483352E0,6.972214699E0,8.691251755E0
1.417460110E-1,1.316810966E0,6.962637901E0,8.686463356E0
1.437459770E-1,1.223437071E0,6.926724911E0,8.609848976E0
1.457459770E-1,1.144428372E0,6.895600319E0,8.540416718E0
1.477450770E-1,1.079784989E0,6.869264126E0,8.473379135E0
1.497445770E-1,1.024718285E0,6.845322132E0,8.408735275E0
1.517436770E-1,9.816226959E-1,6.826168537E0,8.356062889E0
1.537431100E-1,9.457096457E-1,6.811803341E0,8.315361977E0
1.557423100E-1,9.169792533E-1,6.799831867E0,8.281843185E0
1.577423100E-1,8.906430602E-1,6.790255070E0,8.243535995E0
1.597423100E-1,8.643068075E-1,6.778284073E0,8.190863609E0
1.617423100E-1,8.307880163E-1,6.771101475E0,8.123826027E0
1.637423100E-1,7.924807668E-1,6.766313076E0,8.044816971E0
1.657431760E-1,7.589619160E-1,6.759130478E0,7.970596790E0
1.677440420E-1,7.278373241E-1,6.749553680E0,7.889194012E0
1.697449080E-1,7.015010715E-1,6.735188484E0,7.803002834E0
1.717457740E-1,6.799532771E-1,6.723217487E0,7.723993778E0
1.737460400E-1,6.655880809E-1,6.711246490E0,7.642591000E0
1.757467060E-1,6.584054828E-1,6.694487095E0,7.563582420E0
1.777467390E-1,6.560112834E-1,6.680121899E0,7.494150639E0
1.797467720E-1,6.560112834E-1,6.668150902E0,7.431901455E0
1.817468050E-1,6.560112834E-1,6.663362503E0,7.372046471E0
1.837468380E-1,6.464344859E-1,6.682516098E0,7.319374084E0
1.857459710E-1,6.416460276E-1,6.699275494E0,7.281066418E0
1.877450710E-1,6.392518282E-1,6.716034889E0,7.252336025E0
1.897441710E-1,6.368576288E-1,6.730400085E0,7.230788231E0
1.917432710E-1,6.392518282E-1,6.742371082E0,7.214028835E0
1.937429040E-1,6.416460276E-1,6.751947880E0,7.199663639E0
1.957419700E-1,6.416460276E-1,6.759130478E0,7.187692642E0
1.977419360E-1,6.464344859E-1,6.766313076E0,7.178115845E0
1.997419020E-1,6.560112834E-1,6.775889874E0,7.175721645E0
2.017419020E-1,6.727706790E-1,6.780678272E0,7.180510044E0
2.037429020E-1,6.967126727E-1,6.785466671E0,7.187692642E0
2.057409020E-1,7.230489254E-1,6.787860870E0,7.197269440E0
2.077409020E-1,7.493851185E-1,6.792649269E0,7.214028835E0
2.097409020E-1,7.733271718E-1,6.792649269E0,7.230788231E0
2.117409020E-1,7.972691655E-1,6.792649269E0,7.249941826E0
2.137409020E-1,8.188169599E-1,6.795043468E0,7.269095421E0
2.157430680E-1,8.355764151E-1,6.797437668E0,7.285854816E0
2.177430680E-1,8.451532125E-1,6.804620743E0,7.302614689E0
2.197429430E-1,8.547300100E-1,6.814197540E0,7.321768284E0
2.217428310E-1,8.643068075E-1,6.823774338E0,7.340921879E0
2.237427310E-1,8.523358107E-1,6.818985939E0,7.369652271E0
2.257402760E-1,8.427590132E-1,6.814197540E0,7.391200066E0
2.277380260E-1,8.355764151E-1,6.809409142E0,7.410353661E0
2.297359490E-1,8.259995580E-1,6.802226067E0,7.427113056E0
2.317340200E-1,8.116343617E-1,6.795043468E0,7.443872452E0
2.337323530E-1,8.020575643E-1,6.787860870E0,7.458237648E0
2.357306650E-1,7.876923680E-1,6.783072472E0,7.470208645E0
2.377306650E-1,7.733271718E-1,6.778284073E0,7.482179642E0
2.397306090E-1,7.589619160E-1,6.771101475E0,7.501333237E0
2.417305560E-1,7.469909191E-1,6.763918877E0,7.522881031E0
2.437305060E-1,7.422025204E-1,6.754342079E0,7.563582420E0
2.457304580E-1,7.422025204E-1,6.742371082E0,7.601889610E0
2.477299580E-1,7.445967197E-1,6.728005886E0,7.640196800E0
2.497299140E-1,7.541735172E-1,6.708852291E0,7.683292389E0
2.517299140E-1,7.733271718E-1,6.684910297E0,7.728782177E0
2.537299140E-1,7.972691655E-1,6.656179905E0,7.774271965E0
2.557299140E-1,8.188169599E-1,6.632237911E0,7.812579632E0
2.577299140E-1,8.427590132E-1,6.605901718E0,7.850886822E0
2.597299140E-1,8.643068075E-1,6.581959724E0,7.889194012E0
2.617299140E-1,8.810662031E-1,6.560411930E0,7.920318604E0
2.637299140E-1,9.074024558E-1,6.541258335E0,7.937077999E0
2.657291140E-1,9.289502501E-1,6.526893139E0,7.949048996E0
2.677282140E-1,9.481038451E-1,6.519710541E0,7.953837395E0
2.697273140E-1,9.648633003E-1,6.519710541E0,7.953837395E0
2.717264140E-1,9.768342972E-1,6.519710541E0,7.953837395E0
2.737254800E-1,9.864110947E-1,6.519710541E0,7.953837395E0
2.757241460E-1,9.959878922E-1,6.524498940E0,7.951443195E0
2.777241120E-1,1.000776291E0,6.531681538E0,7.946654797E0
2.797241120E-1,1.003170490E0,6.543652534E0,7.939472198E0
2.817241450E-1,1.005564690E0,6.565200329E0,7.929895401E0
2.837241780E-1,1.005564690E0,6.596324921E0,7.915530205E0
2.857250440E-1,1.003170490E0,6.625055313E0,7.898770809E0
2.877259440E-1,9.983820915E-1,6.663362503E0,7.872434616E0
2.897268440E-1,9.935936928E-1,6.706458092E0,7.838915825E0
2.917277440E-1,9.911994934E-1,6.749553680E0,7.800608635E0
2.937285770E-1,9.911994934E-1,6.792649269E0,7.759906769E0
2.957294770E-1,9.935936928E-1,6.828562737E0,7.721599579E0
2.977294430E-1,1.005564690E0,6.857293129E0,7.678503990E0
2.997294430E-1,1.017535686E0,6.881235123E0,7.640196800E0
3.017294430E-1,1.034295082E0,6.900388718E0,7.599495411E0
3.037294430E-1,1.019929886E0,6.926724911E0,7.520486832E0
3.057285760E-1,1.005564690E0,6.948272705E0,7.453449249E0
3.077280420E-1,9.888052940E-1,6.965032101E0,7.395988464E0
3.097271750E-1,9.768342972E-1,6.977003098E0,7.350498676E0
3.117262750E-1,9.672574997E-1,6.986579895E0,7.312191486E0
3.137253410E-1,9.600749016E-1,6.993762493E0,7.283460617E0
3.157244410E-1,9.504981041E-1,6.996156693E0,7.257124424E0
3.177244070E-1,9.433154464E-1,6.998550892E0,7.235576630E0
3.197243730E-1,9.385270476E-1,6.986579895E0,7.214028835E0
3.217236390E-1,9.337386489E-1,6.972214699E0,7.187692642E0
3.237446390E-1,9.361328483E-1,6.943484306E0,7.158962250E0
3.257436390E-1,9.385270476E-1,6.912359715E0,7.132626057E0
3.277436390E-1,9.385270476E-1,6.866869926E0,7.111078262E0
3.297439720E-1,9.337386489E-1,6.809409142E0,7.094318867E0
3.317442220E-1,9.265560508E-1,6.756736279E0,7.079953671E0
3.337444220E-1,9.121908545E-1,6.696881294E0,7.063194275E0
3.357425880E-1,8.858546019E-1,6.641814709E0,7.051223278E0
3.377427300E-1,8.571242094E-1,6.593930721E0,7.041646481E0
3.397428550E-1,8.188169599E-1,6.548440933E0,7.032069683E0
3.417429660E-1,7.757213712E-1,6.512527943E0,7.022492886E0
3.437430660E-1,6.967126727E-1,6.500556946E0,7.032069683E0
3.457407020E-1,6.320692301E-1,6.490980148E0,7.039252281E0
3.477385350E-1,5.770025849E-1,6.488585949E0,7.048829079E0
