"Time (s)","Illuminance (lx)"
4.251508300E-2,1.524000000E3
8.451608300E-2,1.511000000E3
1.245150830E-1,1.500000000E3
1.645150830E-1,1.491000000E3
2.045160830E-1,1.495000000E3
2.445150830E-1,1.500000000E3
2.844994620E-1,1.496000000E3
3.244984620E-1,1.492000000E3
3.644994620E-1,1.495000000E3
4.044984620E-1,1.496000000E3
4.444994620E-1,1.490000000E3
4.844974620E-1,1.492000000E3
5.244874620E-1,1.497000000E3
5.644994620E-1,1.491000000E3
6.044844620E-1,1.480000000E3
6.444844620E-1,1.475000000E3
6.844984620E-1,1.480000000E3
7.244984620E-1,1.523000000E3
7.644984620E-1,1.514000000E3
8.044994620E-1,1.512000000E3
8.444974620E-1,1.451000000E3
8.844994620E-1,1.420000000E3
9.244994620E-1,1.419000000E3
9.653572310E-1,1.360000000E3
1.005357231E0,1.284000000E3
1.045356231E0,1.296000000E3
1.085357231E0,1.431000000E3
1.125355231E0,1.504000000E3
1.165357231E0,1.592000000E3
1.205336231E0,1.659000000E3
1.245357231E0,1.769000000E3
1.285357231E0,1.843000000E3
1.325357231E0,1.998000000E3
