"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.832160830E-1,2.279999924E1,-3.204000092E1,-1.650000000E1
1.871890830E-1,2.321999931E1,-3.245999908E1,-1.644000053E1
2.032160830E-1,2.321999931E1,-3.245999908E1,-1.644000053E1
2.132160830E-1,2.351999855E1,-3.215999985E1,-1.644000053E1
2.232150830E-1,2.369999886E1,-3.221999741E1,-1.626000023E1
2.312015830E-1,2.363999939E1,-3.257999802E1,-1.583999920E1
2.371925830E-1,2.393999863E1,-3.204000092E1,-1.547999954E1
2.446923330E-1,2.393999863E1,-3.204000092E1,-1.547999954E1
2.526923330E-1,2.345999908E1,-3.161999893E1,-1.517999935E1
2.610256660E-1,2.345999908E1,-3.131999969E1,-1.475999928E1
2.687360940E-1,2.387999916E1,-3.113999939E1,-1.529999924E1
2.757327190E-1,2.387999916E1,-3.089999962E1,-1.577999973E1
2.835104960E-1,2.387999916E1,-3.089999962E1,-1.577999973E1
2.915104960E-1,2.435999870E1,-3.047999954E1,-1.565999985E1
2.996922230E-1,2.435999870E1,-3.071999931E1,-1.644000053E1
3.073566390E-1,2.387999916E1,-3.047999954E1,-1.602000046E1
3.145853310E-1,2.351999855E1,-3.089999962E1,-1.535999966E1
3.306113310E-1,2.351999855E1,-3.089999962E1,-1.535999966E1
3.406123310E-1,2.273999977E1,-3.137999916E1,-1.559999943E1
3.506123310E-1,2.285999870E1,-3.137999916E1,-1.505999947E1
3.585988310E-1,2.334000015E1,-3.143999863E1,-1.517999935E1
3.645898310E-1,2.339999962E1,-3.126000023E1,-1.547999954E1
3.720898310E-1,2.339999962E1,-3.126000023E1,-1.547999954E1
3.800898310E-1,2.435999870E1,-3.173999977E1,-1.505999947E1
3.884229970E-1,2.442000008E1,-3.143999863E1,-1.583999920E1
3.964191390E-1,2.429999924E1,-3.137999916E1,-1.626000023E1
4.051690140E-1,2.429999924E1,-3.137999916E1,-1.626000023E1
4.140579020E-1,2.351999855E1,-3.089999962E1,-1.626000023E1
4.230578020E-1,2.369999886E1,-3.071999931E1,-1.559999943E1
4.314189830E-1,2.376000023E1,-3.011999893E1,-1.529999924E1
4.392500660E-1,2.351999855E1,-3.011999893E1,-1.488000011E1
4.552770660E-1,2.351999855E1,-3.011999893E1,-1.488000011E1
4.652760660E-1,2.357999992E1,-2.976000023E1,-1.535999966E1
4.752760660E-1,2.339999962E1,-2.963999939E1,-1.529999924E1
4.832630660E-1,2.345999908E1,-2.976000023E1,-1.535999966E1
4.892543990E-1,2.339999962E1,-2.976000023E1,-1.481999969E1
4.967541490E-1,2.339999962E1,-2.976000023E1,-1.481999969E1
5.047543490E-1,2.339999962E1,-3.035999870E1,-1.446000004E1
5.130876820E-1,2.315999985E1,-3.042000008E1,-1.505999947E1
5.210839670E-1,2.273999977E1,-3.126000023E1,-1.517999935E1
5.298325920E-1,2.273999977E1,-3.126000023E1,-1.517999935E1
5.387214800E-1,2.357999992E1,-3.113999939E1,-1.565999985E1
