"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.030791667E-3,-1.483415222E-1,2.130818939E0,9.572294312E0
1.398479167E-2,-1.640588379E-1,2.124382324E0,9.552385712E0
2.393879167E-2,-1.936972046E-1,2.145338745E0,9.548344116E0
3.389179167E-2,-2.240840149E-1,2.171983337E0,9.543404388E0
4.384579167E-2,-2.430944824E-1,2.192041626E0,9.552385712E0
5.379979167E-2,-2.402503967E-1,2.177072754E0,9.578132172E0
6.375379167E-2,-2.091151428E-1,2.168390808E0,9.598190460E0
7.370679167E-2,-1.889071655E-1,2.181114349E0,9.571994934E0
8.366079167E-2,-1.914518738E-1,2.194436646E0,9.554780731E0
9.361479167E-2,-1.881587219E-1,2.206711121E0,9.551786957E0
1.035677917E-1,-2.059716797E-1,2.200424194E0,9.538464661E0
1.135217917E-1,-2.158511353E-1,2.186802521E0,9.530381470E0
1.234757917E-1,-2.386038208E-1,2.151625671E0,9.547895050E0
1.334287917E-1,-2.171983337E-1,2.138153687E0,9.575288086E0
1.433827917E-1,-1.942959595E-1,2.108515320E0,9.570498047E0
1.533367917E-1,-1.972897339E-1,2.087858276E0,9.546697540E0
1.632897917E-1,-1.887574768E-1,2.121837616E0,9.565109253E0
1.732437917E-1,-2.008822632E-1,2.126328278E0,9.559121704E0
1.831977917E-1,-2.020797729E-1,2.158062286E0,9.550739136E0
1.931507917E-1,-1.731898499E-1,2.179168396E0,9.537566528E0
2.031047917E-1,-1.559756470E-1,2.198777618E0,9.556876373E0
2.130587917E-1,-1.398092651E-1,2.187850342E0,9.566606140E0
2.230117917E-1,-1.546284485E-1,2.185904388E0,9.583071899E0
2.329657917E-1,-1.481918335E-1,2.177970886E0,9.556427307E0
2.429197917E-1,-1.911524963E-1,2.182611237E0,9.561067657E0
2.528727917E-1,-2.424957275E-1,2.177372131E0,9.558373260E0
2.628267917E-1,-2.281256104E-1,2.177222443E0,9.534572754E0
2.727807917E-1,-2.332150269E-1,2.176773376E0,9.523196411E0
2.827337917E-1,-2.165995789E-1,2.172282715E0,9.533375244E0
2.926877917E-1,-2.040257263E-1,2.163151703E0,9.553732910E0
3.026417917E-1,-2.115101624E-1,2.169588318E0,9.580527191E0
3.125957917E-1,-2.154020691E-1,2.151326294E0,9.568552094E0
3.225487917E-1,-2.200424194E-1,2.158511353E0,9.573192444E0
3.325027917E-1,-2.206411743E-1,2.160756683E0,9.598040771E0
3.424567917E-1,-2.014810181E-1,2.161954193E0,9.586664429E0
3.524097917E-1,-1.757345581E-1,2.170935516E0,9.559271393E0
3.623637917E-1,-1.718426514E-1,2.193688202E0,9.543254700E0
3.723177917E-1,-1.396595764E-1,2.195334778E0,9.508377228E0
3.822707917E-1,-1.416055298E-1,2.213896179E0,9.533674622E0
3.922247917E-1,-1.562750244E-1,2.200124817E0,9.547146606E0
