"Time (s)","X (hPa)"
-5.335650000E-1,1.026908188E3
5.007710000E-1,1.026908264E3
1.535108000E0,1.026908340E3
2.569488000E0,1.026908646E3
3.603913000E0,1.026908646E3
4.638286000E0,1.026900482E3
5.153942000E0,1.026882782E3
6.188255000E0,1.026882477E3
7.222606000E0,1.026872253E3
8.256887000E0,1.026861954E3
9.291183000E0,1.026857529E3
1.032559400E1,1.026856918E3
1.135998900E1,1.026856918E3
1.239439100E1,1.026857147E3
1.342879500E1,1.026857147E3
1.446318900E1,1.026857147E3
1.549756700E1,1.026857147E3
1.653191100E1,1.026858978E3
1.756628400E1,1.026866913E3
1.860063200E1,1.026876907E3
1.963502800E1,1.026887894E3
2.066943600E1,1.026898499E3
2.170382600E1,1.026898499E3
2.273827500E1,1.026878662E3
2.377275400E1,1.026844940E3
2.480724300E1,1.026806259E3
2.584165700E1,1.026766281E3
2.687609300E1,1.026724319E3
2.791044500E1,1.026701889E3
2.894479100E1,1.026686630E3
2.997912100E1,1.026673203E3
3.101345900E1,1.026656876E3
3.204783400E1,1.026643600E3
3.308219300E1,1.026626968E3
3.411657100E1,1.026611710E3
3.515100600E1,1.026607819E3
3.618544500E1,1.026607819E3
3.721985300E1,1.026617966E3
3.825423900E1,1.026632233E3
3.928864100E1,1.026647339E3
4.032302400E1,1.026661072E3
4.135738600E1,1.026661911E3
4.239176400E1,1.026662369E3
4.342612500E1,1.026663132E3
4.446056900E1,1.026666946E3
4.549498600E1,1.026673508E3
4.652946100E1,1.026684036E3
4.756389600E1,1.026693802E3
4.859829500E1,1.026714630E3
4.963273300E1,1.026754990E3
5.066717500E1,1.026794281E3
5.170160100E1,1.026828918E3
5.273597100E1,1.026865005E3
5.377034400E1,1.026894150E3
5.480472800E1,1.026897202E3
5.583911300E1,1.026899567E3
5.687350800E1,1.026902542E3
5.790785200E1,1.026904449E3
5.894219800E1,1.026905212E3
5.997658300E1,1.026905212E3
6.101094900E1,1.026904678E3
6.204535100E1,1.026904526E3
6.307977200E1,1.026902542E3
6.411416700E1,1.026900940E3
6.514856900E1,1.026900253E3
6.618297900E1,1.026898956E3
6.721737900E1,1.026897964E3
6.825176700E1,1.026897964E3
6.928618800E1,1.026898041E3
7.032059400E1,1.026902542E3
7.135500000E1,1.026906509E3
7.238942500E1,1.026911087E3
7.342386000E1,1.026928329E3
7.445823700E1,1.026945648E3
7.549264700E1,1.026961365E3
7.652702500E1,1.026987076E3
7.756139900E1,1.027013245E3
7.859582400E1,1.027026291E3
7.963028900E1,1.027027130E3
8.066481300E1,1.027027130E3
8.169937200E1,1.027022552E3
8.273385500E1,1.027012787E3
8.376829400E1,1.027004929E3
8.480273200E1,1.026993713E3
8.583719000E1,1.026992874E3
8.687167900E1,1.026978836E3
8.790606800E1,1.026965179E3
8.894048900E1,1.026952820E3
8.997493600E1,1.026948624E3
9.100938100E1,1.026941681E3
9.204379400E1,1.026938400E3
9.307823600E1,1.026928329E3
9.411264800E1,1.026911392E3
9.514718900E1,1.026895599E3
9.618167200E1,1.026883774E3
9.721614500E1,1.026883774E3
9.825062800E1,1.026889496E3
9.928511200E1,1.026903687E3
1.003196190E2,1.026916046E3
1.013541340E2,1.026926422E3
1.023886120E2,1.026937408E3
1.034231150E2,1.026937408E3
1.044576030E2,1.026922684E3
1.054920610E2,1.026874008E3
1.065264790E2,1.026815491E3
1.075609450E2,1.026755676E3
1.085952940E2,1.026691742E3
1.096296290E2,1.026646729E3
1.106639320E2,1.026636505E3
1.116983100E2,1.026635666E3
1.127326900E2,1.026635284E3
1.137670920E2,1.026634903E3
