"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.344942093E-1,5.233911695E1,4.875491640E0,-7.299023874E0,0.000000000E0,8.595138345E1,4.742316421E0,3.366745015E0
1.734495759E0,5.233911695E1,4.875491640E0,-7.299023874E0,0.000000000E0,8.595138345E1,4.742255135E0,3.366831340E0
2.734498501E0,5.233911695E1,4.875491640E0,-7.299023874E0,0.000000000E0,8.595138345E1,4.742282308E0,3.366793066E0
3.734495878E0,5.233911695E1,4.875491640E0,-7.299023874E0,0.000000000E0,8.595138345E1,4.742144947E0,3.366986536E0
4.734496117E0,5.233911695E1,4.875491640E0,-7.299023874E0,0.000000000E0,8.595138345E1,4.742308964E0,3.366755519E0
5.734497428E0,5.233911695E1,4.875491640E0,-7.299023874E0,0.000000000E0,8.595138345E1,4.742390337E0,3.366640896E0
6.734497070E0,5.233911695E1,4.875491640E0,-7.299023874E0,0.000000000E0,8.595138345E1,4.742510390E0,3.366471779E0
7.734498382E0,5.233911695E1,4.875491640E0,-7.299023874E0,0.000000000E0,8.595138345E1,4.742556783E0,3.366406421E0
8.734498262E0,5.233911695E1,4.875491640E0,-7.299023874E0,0.000000000E0,8.595138345E1,4.742597298E0,3.366349343E0
9.734499574E0,5.233911695E1,4.875491640E0,-7.299023874E0,0.000000000E0,8.595138345E1,4.742627460E0,3.366306850E0
1.073450017E1,5.233911945E1,4.875491894E0,-7.861523754E0,3.988402104E-3,8.595138370E1,4.742613146E0,3.366327017E0
1.173450041E1,5.233911944E1,4.875491612E0,-7.896098197E0,1.848414732E-3,8.595138348E1,4.742513675E0,3.366467151E0
1.273450065E1,5.233911925E1,4.875491699E0,-7.941037379E0,3.777106732E-3,8.595138354E1,4.742326330E0,3.366731057E0
1.373450112E1,5.233911938E1,4.875491498E0,-7.992214715E0,3.209782690E-3,8.595138339E1,4.742013265E0,3.367171992E0
1.473450255E1,5.233911940E1,4.875491861E0,-8.037532551E0,5.012307082E-3,8.595138367E1,4.741695561E0,3.367619373E0
1.573450291E1,5.233911921E1,4.875492455E0,-7.984575491E0,6.236076126E-3,8.595138414E1,4.741411076E0,3.368019899E0
1.673450279E1,5.233911902E1,4.875492977E0,-7.929109644E0,6.917101901E-3,8.595138455E1,4.741158254E0,3.368375787E0
1.773450387E1,5.233911896E1,4.875493472E0,-7.869609478E0,9.427418711E-3,8.595138494E1,4.740731876E0,3.368975855E0
1.873450339E1,5.233911881E1,4.875493666E0,-7.897249212E0,4.485377432E-3,8.595138509E1,4.740267223E0,3.369629607E0
1.973450422E1,5.233911874E1,4.875493769E0,-7.994965999E0,4.580766441E-3,8.595138517E1,4.739619888E0,3.370540067E0
2.073450494E1,5.233911862E1,4.875493916E0,-8.000735328E0,6.576583069E-3,8.595138528E1,4.739223422E0,3.371097505E0
2.173450553E1,5.233911834E1,4.875493598E0,-8.054566646E0,6.434354763E-3,8.595138502E1,4.738921012E0,3.371522605E0
2.273450541E1,5.233911833E1,4.875493768E0,-8.143695895E0,1.581885599E-2,8.595138516E1,4.738401460E0,3.372252754E0
2.373450661E1,5.233911879E1,4.875495232E0,-8.197205495E0,1.219119693E-1,8.595138633E1,4.738301812E0,3.372392767E0
2.473450696E1,5.233911909E1,4.875506934E0,-8.044061407E0,6.771874929E-1,8.595139559E1,4.738267208E0,3.372441385E0
