"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.518791667E-3,3.112163544E1,-8.592453003E0,-4.171331787E1
1.647279167E-2,3.113045502E1,-8.542335510E0,-4.138848877E1
2.642679167E-2,3.115396118E1,-8.567642212E0,-4.152844238E1
3.637979167E-2,3.118126678E1,-8.572052002E0,-4.117657471E1
4.633379167E-2,3.114912033E1,-8.692588806E0,-4.100848389E1
5.628779167E-2,3.115205383E1,-8.518989563E0,-4.149890137E1
6.624179167E-2,3.109477234E1,-8.538444519E0,-4.100408936E1
7.619479167E-2,3.110877228E1,-8.610389709E0,-4.148089600E1
8.614879167E-2,3.127316666E1,-8.519554138E0,-4.052758789E1
9.610279167E-2,3.112339020E1,-8.531700134E0,-4.061602783E1
1.060557917E-1,3.115905380E1,-8.584426880E0,-4.137927246E1
1.160097917E-1,3.118439102E1,-8.617340088E0,-4.076580811E1
1.259637917E-1,3.122093964E1,-8.550621033E0,-4.143798828E1
1.359167917E-1,3.128559494E1,-8.683975220E0,-4.122521973E1
1.458707917E-1,3.133638382E1,-8.538215637E0,-4.080950928E1
1.558247917E-1,3.118404388E1,-8.552871704E0,-4.142431641E1
1.657777917E-1,3.110705185E1,-8.524848938E0,-4.067816162E1
1.757317917E-1,3.108878708E1,-8.548851013E0,-4.164276123E1
1.856857917E-1,3.111516953E1,-8.654502869E0,-4.127813721E1
1.956387917E-1,3.117704010E1,-8.616386414E0,-4.090802002E1
2.055927917E-1,3.115123367E1,-8.635131836E0,-4.154449463E1
2.155467917E-1,3.112293243E1,-8.629249573E0,-4.103521729E1
2.254997917E-1,3.116294861E1,-8.634147644E0,-4.136914062E1
2.354537917E-1,3.119288635E1,-8.648460388E0,-4.149517822E1
2.454077917E-1,3.125022125E1,-8.673553467E0,-4.127093506E1
2.553607917E-1,3.116073227E1,-8.609802246E0,-4.158386230E1
2.653147917E-1,3.116073227E1,-8.609802246E0,-4.158386230E1
2.752687917E-1,3.131476593E1,-8.550231934E0,-4.102520752E1
2.852217917E-1,3.125028610E1,-8.622299194E0,-4.150427246E1
2.951757917E-1,3.116640472E1,-8.651107788E0,-4.159259033E1
3.051297917E-1,3.131801605E1,-8.612258911E0,-4.105938721E1
3.150837917E-1,3.125892639E1,-8.647430420E0,-4.152612305E1
3.250367917E-1,3.139098358E1,-8.597290039E0,-4.109356689E1
3.349907917E-1,3.125840759E1,-8.452041626E0,-4.138745117E1
3.449447917E-1,3.117468643E1,-8.640335083E0,-4.149975586E1
3.548977917E-1,3.124160385E1,-8.584053040E0,-4.118365479E1
3.648517917E-1,3.116047287E1,-8.670219421E0,-4.140783691E1
3.748057917E-1,3.113047409E1,-8.559928894E0,-4.071868896E1
3.847587917E-1,3.108322525E1,-8.573066711E0,-4.161175537E1
3.947127917E-1,3.111222076E1,-8.522834778E0,-4.173687744E1
4.046667917E-1,3.117929840E1,-8.596366882E0,-4.125231934E1
4.146197917E-1,3.128865433E1,-8.642875671E0,-4.152679443E1
4.245737917E-1,3.118817520E1,-8.673568726E0,-4.090502930E1
4.345277917E-1,3.108505630E1,-8.652099609E0,-4.136169434E1
4.444807917E-1,3.104844666E1,-8.781990051E0,-4.171240234E1
4.544347917E-1,3.135840988E1,-8.772880554E0,-4.132324219E1
4.643887917E-1,3.131500626E1,-8.683143616E0,-4.148242188E1
4.743417917E-1,3.130100250E1,-8.669860840E0,-4.100604248E1
4.842957917E-1,3.137551498E1,-8.606231689E0,-4.129296875E1
4.942497917E-1,3.124505615E1,-8.594749451E0,-4.143005371E1
5.042027917E-1,3.130458832E1,-8.722755432E0,-4.104284668E1
5.141567917E-1,3.108827972E1,-8.797843933E0,-4.145587158E1
5.241107917E-1,3.108724976E1,-8.761383057E0,-4.091955566E1
5.340637917E-1,3.111185455E1,-8.755813599E0,-4.162860107E1
5.440177917E-1,3.112199020E1,-8.741767883E0,-4.199755859E1
5.539717917E-1,3.123236465E1,-8.752731323E0,-4.140557861E1
5.639247917E-1,3.108249664E1,-8.803176880E0,-4.175256348E1
5.738787917E-1,3.096911621E1,-8.649139404E0,-4.069317627E1
5.838327917E-1,3.086733627E1,-8.680824280E0,-4.127270508E1
5.937867917E-1,3.118516922E1,-8.606025696E0,-4.119573975E1
6.037397917E-1,3.117113876E1,-8.707580566E0,-4.095324707E1
6.136937917E-1,3.107344437E1,-8.760864258E0,-4.144451904E1
6.236477917E-1,3.114588928E1,-8.631179810E0,-4.112072754E1
6.336007917E-1,3.117706680E1,-8.690086365E0,-4.149438477E1
6.435547917E-1,3.113105392E1,-8.658721924E0,-4.147296143E1
6.535087917E-1,3.109117889E1,-8.680854797E0,-4.087298584E1
6.634617917E-1,3.109787750E1,-8.682685852E0,-4.141333008E1
6.734157917E-1,3.116848755E1,-8.838470459E0,-4.112542725E1
6.833697917E-1,3.105578995E1,-8.852035522E0,-4.155310059E1
6.933227917E-1,3.107638550E1,-8.829399109E0,-4.162615967E1
7.032767917E-1,3.106326294E1,-8.804420471E0,-4.097650146E1
7.132307917E-1,3.116568756E1,-8.939971924E0,-4.133557129E1
7.231837917E-1,3.117940521E1,-8.936584473E0,-4.054150391E1
7.331377917E-1,3.121876144E1,-8.909957886E0,-4.130236816E1
7.430917917E-1,3.121510696E1,-8.826622009E0,-4.141595459E1
7.530447917E-1,3.114465332E1,-8.701538086E0,-4.075787354E1
7.629987917E-1,3.112504959E1,-8.833084106E0,-4.100427246E1
7.729527917E-1,3.108308411E1,-8.788253784E0,-4.047180176E1
7.829057917E-1,3.108839035E1,-8.823181152E0,-4.115344238E1
7.928597917E-1,3.119627762E1,-8.793876648E0,-4.136248779E1
8.028137917E-1,3.111572647E1,-8.769096375E0,-4.099908447E1
8.127667917E-1,3.113254547E1,-8.738281250E0,-4.146423340E1
8.227207917E-1,3.111922073E1,-8.708908081E0,-4.089459229E1
8.326747917E-1,3.126208496E1,-8.653144836E0,-4.127667236E1
8.426277917E-1,3.121046448E1,-8.678848267E0,-4.153125000E1
8.525817917E-1,3.111732864E1,-8.733589172E0,-4.120422363E1
8.625357917E-1,3.110064697E1,-8.651947021E0,-4.141851807E1
8.724887917E-1,3.114103699E1,-8.667587280E0,-4.095312500E1
8.824427917E-1,3.106264877E1,-8.641441345E0,-4.149328613E1
8.923967917E-1,3.101871490E1,-8.717834473E0,-4.161450195E1
9.023497917E-1,3.111906052E1,-8.771636963E0,-4.114172363E1
9.123040417E-1,3.112846756E1,-8.814331055E0,-4.116680908E1
9.222580417E-1,3.114803696E1,-8.870147705E0,-4.090490723E1
9.322110417E-1,3.125031281E1,-8.771453857E0,-4.094287109E1
9.421650417E-1,3.124320221E1,-8.803504944E0,-4.140521240E1
9.521190417E-1,3.117131424E1,-8.750701904E0,-4.093579102E1
9.620720417E-1,3.104654312E1,-8.838523865E0,-4.149719238E1
9.720260417E-1,3.125216675E1,-8.936569214E0,-4.133465576E1
9.819800417E-1,3.136281204E1,-8.849243164E0,-4.146405029E1
9.919340417E-1,3.144633865E1,-8.870368958E0,-4.143377686E1
1.001887042E0,3.136740112E1,-8.828590393E0,-4.126940918E1
1.011841042E0,3.137925720E1,-8.789207458E0,-4.147241211E1
1.021795042E0,3.117774963E1,-8.942558289E0,-4.093670654E1
1.031748042E0,3.122697067E1,-8.791236877E0,-4.112030029E1
1.041702042E0,3.115516663E1,-8.822441101E0,-4.153546143E1
1.051656042E0,3.119912720E1,-8.973907471E0,-4.098510742E1
1.061609042E0,3.126085663E1,-8.984291077E0,-4.126177979E1
1.071563042E0,3.116593552E1,-8.810134888E0,-4.068811035E1
1.081517042E0,3.109562683E1,-8.787071228E0,-4.090429688E1
1.091470042E0,3.122909546E1,-8.848403931E0,-4.121350098E1
1.101424042E0,3.138226700E1,-8.782341003E0,-4.085961914E1
1.111378042E0,3.137903214E1,-8.874542236E0,-4.141473389E1
1.121331042E0,3.137036133E1,-8.844306946E0,-4.117523193E1
