"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.000733333E-2,-5.138361081E-2,-1.933164336E-2,-1.252084738E-3
4.996133333E-2,-3.148337081E-2,-1.024739817E-2,-3.350548213E-3
5.991433333E-2,-5.196105689E-3,8.258908987E-3,-1.831747591E-3
6.986833333E-2,1.531878207E-2,2.144651115E-2,-5.450439639E-3
7.982133333E-2,2.652802691E-2,2.400820516E-2,-1.226120815E-2
8.977533333E-2,3.640101105E-2,2.963389829E-2,-1.721114665E-2
9.972833333E-2,3.813179955E-2,3.519085050E-2,-1.843566820E-2
1.096823333E-1,2.864154428E-2,3.335229307E-2,-1.450622454E-2
1.196353333E-1,1.802325435E-2,2.370499261E-2,-7.160427049E-3
1.295893333E-1,7.542383857E-3,1.619141549E-2,-4.040534142E-3
1.395433333E-1,-4.443438724E-3,1.964287274E-2,6.383736618E-4
1.494963333E-1,-1.073154062E-2,2.388000861E-2,3.936173394E-3
1.594503333E-1,-1.021142583E-2,2.674663626E-2,3.616859904E-3
1.694033333E-1,-3.639514092E-3,4.183801264E-2,-3.435243387E-3
1.793573333E-1,1.369313709E-2,4.000202566E-2,-8.706703782E-3
1.893103333E-1,3.187020868E-2,3.898251429E-2,-7.701235358E-3
1.992643333E-1,4.263923317E-2,3.361810744E-2,-1.311890408E-2
2.092173333E-1,4.428350553E-2,2.994155139E-2,-1.965312846E-2
2.191713333E-1,3.809378296E-2,2.246445976E-2,-2.146700770E-2
2.291243333E-1,2.272140980E-2,7.765045390E-3,-2.114206925E-2
2.390783333E-1,-2.324289177E-3,-1.013246179E-2,-1.150568947E-2
2.490323333E-1,-3.725568205E-2,-2.185571566E-2,3.637660760E-3
2.589853333E-1,-7.412235439E-2,-2.864331380E-2,2.222119831E-2
2.689393333E-1,-1.030656248E-1,-3.255992010E-2,1.480549295E-2
2.788923333E-1,-1.045796424E-1,-5.093972385E-2,1.571735926E-2
2.888463333E-1,-9.217718989E-2,-5.410329998E-2,1.650829799E-2
2.987993333E-1,-6.606782228E-2,-3.215778619E-2,1.020592824E-2
3.087533333E-1,-3.187435865E-2,-1.659391262E-2,-5.806090310E-3
3.187063333E-1,-2.198754344E-3,-6.054186728E-3,-1.370848808E-2
3.286603333E-1,2.362890542E-2,5.953489337E-3,-1.525601000E-2
3.386143333E-1,4.438238591E-2,1.472274587E-2,-1.067563985E-2
