"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.000733333E-2,-7.847014569E-2,1.068359390E-1,1.471042514E-2
4.996133333E-2,-1.060027108E-1,9.646824092E-2,1.680881542E-1
5.991433333E-2,-9.181210309E-2,7.178889781E-2,2.507087266E-1
6.986833333E-2,-6.568652429E-2,2.520968556E-2,2.759458941E-1
7.982133333E-2,-1.643623084E-2,-2.701676756E-2,2.076720500E-1
8.977533333E-2,-9.904013872E-3,-3.846678525E-2,9.664278030E-2
9.972833333E-2,-4.066299945E-3,-3.663631439E-2,3.423544765E-2
1.096823333E-1,-2.833129473E-2,2.284097850E-2,-3.910208523E-2
1.196353333E-1,-1.232022956E-1,3.493243575E-2,-1.031770438E-1
1.295893333E-1,-1.591946123E-1,4.581234992E-2,-1.337129581E-1
1.395433333E-1,-1.395017016E-1,4.256451398E-2,-1.031016147E-1
1.494963333E-1,-9.243826680E-2,2.921882898E-2,-4.415817261E-2
1.594503333E-1,-4.579217702E-2,2.906767845E-2,1.776033282E-2
1.694033333E-1,-3.623658411E-2,-8.883674741E-3,1.184891474E-1
1.793573333E-1,-5.036418803E-2,7.449937463E-3,2.206704104E-1
1.893103333E-1,-8.853948958E-2,1.742733389E-2,1.891316986E-1
1.992643333E-1,-1.156221845E-1,5.441126525E-3,1.821811134E-1
2.092173333E-1,-7.841174662E-2,1.363921523E-2,6.193604708E-2
2.191713333E-1,-8.885765120E-2,1.973727643E-3,-9.998212516E-2
2.291243333E-1,-1.352353538E-1,-2.630457669E-2,-2.051302654E-1
2.390783333E-1,-1.683012852E-1,-1.599827439E-2,-3.277247429E-1
2.490323333E-1,-2.160294753E-1,7.665114999E-3,-3.844076514E-1
2.589853333E-1,-2.673227859E-1,3.748503774E-2,-3.880966598E-1
2.689393333E-1,-2.952178053E-1,1.838189185E-2,-3.344414395E-1
2.788923333E-1,-1.819502945E-1,1.288621080E-1,-1.928505278E-1
2.888463333E-1,-7.771417379E-2,1.777036080E-1,-1.681074500E-3
2.987993333E-1,5.963867605E-3,8.082927793E-2,1.793598318E-1
3.087533333E-1,8.600720666E-2,8.646862507E-3,3.608954126E-1
3.187063333E-1,1.155528219E-1,-4.091881514E-3,4.068375707E-1
3.286603333E-1,9.498290196E-2,-5.592657119E-2,3.793878168E-1
3.386143333E-1,3.590563171E-2,-1.140098879E-1,3.070782244E-1
3.485673333E-1,-5.686607257E-2,-1.788163331E-1,1.759485662E-1
3.585213333E-1,-8.085924491E-2,-1.594263813E-1,3.443249881E-2
3.684743333E-1,-3.104615696E-2,-2.707290083E-2,-1.285603917E-1
3.784283333E-1,-1.298425399E-2,1.021914956E-1,-2.379056633E-1
3.883813333E-1,1.334480792E-3,1.884282786E-1,-3.063321197E-1
3.983353333E-1,-8.318475567E-2,1.959156382E-1,-3.044645190E-1
4.082883333E-1,-1.465064467E-1,1.258917224E-1,-1.813817990E-1
4.182423333E-1,-1.303104633E-1,6.952163994E-2,1.873272479E-2
4.281953333E-1,-1.178049501E-1,2.314444900E-2,1.810514313E-1
4.381493333E-1,-1.066396187E-1,-2.477699161E-2,2.784672135E-1
4.481033333E-1,-7.533165269E-2,-5.380227774E-2,3.111771226E-1
4.580563333E-1,-6.756004527E-2,-5.764916092E-2,2.116645288E-1
4.680103333E-1,-1.004040749E-1,-4.234173506E-2,6.422230840E-2
4.779633333E-1,-1.260383414E-1,-7.630031705E-3,-5.920539737E-2
4.879173333E-1,-1.304595673E-1,4.811381400E-2,-1.658112484E-1
4.978703333E-1,-1.444291502E-1,1.106310743E-1,-2.202312845E-1
5.078243333E-1,-1.492900868E-1,1.163844422E-1,-1.943860066E-1
5.177773333E-1,-1.298679753E-1,9.271462083E-2,-5.785176694E-2
5.277313333E-1,-1.297464994E-1,6.712515861E-2,8.428118169E-2
5.376853333E-1,-1.410023164E-1,2.867533028E-2,1.929943693E-1
5.476383333E-1,-1.409899642E-1,-4.247739047E-2,2.233028269E-1
5.575923333E-1,-1.254193405E-1,-9.121773362E-2,1.811660367E-1
5.675453333E-1,-7.171091057E-2,-8.476708531E-2,9.984413087E-2
5.774993333E-1,-3.735150196E-2,-6.176677018E-2,-1.315155745E-2
5.874523333E-1,6.615393609E-3,1.716917932E-2,-1.577011603E-1
5.974063333E-1,-4.574203715E-3,7.719815701E-2,-2.498749137E-1
6.073593333E-1,-3.530380704E-2,8.725332141E-2,-2.687304300E-1
6.173133333E-1,-5.274912111E-2,5.860430360E-2,-1.803632140E-1
6.272673333E-1,-7.089858614E-2,-3.396179795E-2,3.742042601E-2
6.372203333E-1,-5.875581957E-2,6.815806925E-3,1.703855252E-1
6.471743333E-1,-7.614500038E-2,-8.708550632E-3,2.188209361E-1
6.571283333E-1,-1.094891862E-1,-2.820170581E-2,3.220517743E-1
6.670813333E-1,-8.536459766E-2,-4.271040201E-2,3.155268663E-1
6.770353333E-1,-1.675227284E-2,-6.500495821E-2,2.963760656E-1
6.869883333E-1,6.924360484E-2,-7.342377931E-2,1.823945367E-1
6.969423333E-1,1.172743153E-1,-7.384097815E-2,3.904829085E-2
7.068953333E-1,1.194437785E-1,-6.024415523E-2,-1.308963543E-1
7.168493333E-1,8.868669324E-2,-1.637191147E-2,-2.548462164E-1
7.268023333E-1,9.286474809E-3,2.833589941E-2,-3.693300211E-1
7.367563333E-1,-5.616864592E-2,6.097768843E-2,-3.764560229E-1
7.467103333E-1,-1.339860231E-1,8.087576330E-2,-2.568295920E-1
7.566633333E-1,-1.658361722E-1,9.118411213E-2,-7.536300838E-2
7.666173333E-1,-1.397117628E-1,9.661383659E-2,9.976460874E-2
7.765703333E-1,-9.966805659E-2,9.249798149E-2,2.502158064E-1
7.865243333E-1,-3.629125558E-2,3.348232627E-2,3.023408103E-1
7.964773333E-1,-4.889829107E-2,3.935468495E-3,2.770270443E-1
8.064313333E-1,-6.323310569E-2,-1.226541191E-2,2.492580324E-1
8.163843333E-1,-7.071249850E-2,-2.635369331E-2,1.574573314E-1
8.263383333E-1,-6.962389313E-2,1.217097938E-2,1.290714383E-2
8.362913333E-1,-4.366371743E-2,8.184727818E-2,-1.106223035E-1
8.462452083E-1,-3.780261464E-2,1.046286151E-1,-2.138782847E-1
8.561992083E-1,-7.559901662E-2,8.483345121E-2,-1.928148597E-1
8.661522083E-1,-9.384898067E-2,6.418430150E-2,-7.491628110E-2
8.761062083E-1,-1.007509609E-1,1.360822499E-2,6.127589643E-2
8.860592083E-1,-8.712139361E-2,-2.611980468E-2,1.600540799E-1
8.960132083E-1,-7.663090400E-2,-5.490477026E-2,2.397604001E-1
9.059662083E-1,-4.011292264E-2,-7.521302730E-2,2.139759332E-1
9.159202083E-1,-1.241049595E-2,-4.046477884E-2,1.194890213E-1
9.258742083E-1,2.602741867E-3,-1.518755794E-2,1.164706886E-2
9.358272083E-1,-6.926904023E-3,-5.009894371E-3,-9.957106590E-2
9.457812083E-1,-2.428363279E-2,2.856540263E-2,-1.622947329E-1
9.557342083E-1,-5.391966060E-2,2.706880778E-2,-1.155193466E-1
9.656882083E-1,-7.618403055E-2,2.930595249E-2,-3.193339884E-2
9.756412083E-1,-8.930693664E-2,7.187017411E-2,4.010780632E-2
9.855952083E-1,-8.805848300E-2,1.005592453E-1,6.645185173E-2
9.955482083E-1,-1.722721294E-2,7.892864048E-2,7.824451625E-2
1.005502208E0,4.869327307E-2,6.099230647E-2,1.020672423E-1
1.015456208E0,1.008016124E-1,1.316354424E-2,1.611258745E-1
1.025409208E0,1.248321339E-1,-4.589479566E-2,2.015330583E-1
1.035363208E0,1.076602502E-1,-1.087693208E-1,1.839808863E-1
1.045316208E0,5.790994674E-2,-1.544983479E-1,1.398613054E-1
1.055270208E0,2.941734195E-2,-1.284305835E-1,9.614342809E-2
1.065223208E0,1.136552542E-3,-5.704719007E-2,-1.146638989E-3
