"Time (s)","X (hPa)"
-5.349578334E-1,1.008348923E3
4.934291666E-1,1.008349228E3
1.521798167E0,1.008348923E3
2.550206167E0,1.008336258E3
3.578546167E0,1.008318024E3
3.776871167E0,1.008306580E3
4.838410167E0,1.008302002E3
5.899964167E0,1.008296585E3
6.961572167E0,1.008287659E3
8.023166167E0,1.008280334E3
9.084772167E0,1.008274841E3
1.014633617E1,1.008268356E3
1.120786617E1,1.008260345E3
1.226937917E1,1.008256531E3
1.333087817E1,1.008256531E3
1.439235617E1,1.008259735E3
1.545388317E1,1.008266678E3
1.651543017E1,1.008273773E3
1.757693217E1,1.008280716E3
1.863843817E1,1.008292923E3
1.969992317E1,1.008304749E3
2.076139217E1,1.008310394E3
2.182284217E1,1.008310394E3
2.288442317E1,1.008308487E3
2.394596617E1,1.008301773E3
2.500754217E1,1.008288879E3
2.606904017E1,1.008276138E3
2.713057417E1,1.008264160E3
2.819203917E1,1.008255692E3
2.925353917E1,1.008245773E3
3.031501217E1,1.008245773E3
3.137652517E1,1.008246155E3
3.243802317E1,1.008254471E3
3.349951417E1,1.008265610E3
3.456102617E1,1.008279495E3
3.562250817E1,1.008280334E3
3.668403117E1,1.008287888E3
3.774554417E1,1.008294144E3
3.880707817E1,1.008302689E3
3.986860617E1,1.008309631E3
4.093008717E1,1.008320999E3
4.199157517E1,1.008322601E3
4.305309717E1,1.008322983E3
4.411459817E1,1.008324051E3
4.517610317E1,1.008324051E3
4.623762517E1,1.008337173E3
4.729915717E1,1.008349152E3
4.836064917E1,1.008354187E3
4.942213817E1,1.008362656E3
5.048359017E1,1.008366013E3
5.154503917E1,1.008366776E3
5.260648017E1,1.008383636E3
5.366794217E1,1.008393326E3
5.472941217E1,1.008399048E3
5.579090917E1,1.008401718E3
5.685234417E1,1.008401718E3
5.791383517E1,1.008373337E3
5.897530117E1,1.008358765E3
6.003675217E1,1.008355026E3
6.109816417E1,1.008351288E3
6.215961217E1,1.008351288E3
6.322105017E1,1.008366623E3
6.428247617E1,1.008381348E3
6.534385617E1,1.008407669E3
6.640521617E1,1.008407669E3
6.746662417E1,1.008387299E3
6.852801917E1,1.008334351E3
6.958946217E1,1.008286362E3
7.065087017E1,1.008253174E3
7.171229917E1,1.008253174E3
7.277375117E1,1.008292084E3
7.383519517E1,1.008333130E3
7.489662617E1,1.008380661E3
7.595808617E1,1.008391724E3
7.701955717E1,1.008391724E3
7.808103217E1,1.008391724E3
7.914251517E1,1.008401413E3
8.020396017E1,1.008415833E3
8.126541517E1,1.008420944E3
8.232685017E1,1.008428574E3
8.338826917E1,1.008430176E3
8.444968217E1,1.008430176E3
8.551109817E1,1.008430176E3
8.657252117E1,1.008425140E3
8.763390317E1,1.008425140E3
8.869533417E1,1.008424149E3
8.975673317E1,1.008422775E3
9.081811517E1,1.008419037E3
9.187954517E1,1.008414230E3
9.294093017E1,1.008412781E3
9.400233617E1,1.008412704E3
9.506382017E1,1.008412704E3
9.612522617E1,1.008418808E3
9.718665017E1,1.008425980E3
9.824801917E1,1.008433838E3
9.930941817E1,1.008434677E3
1.003707632E2,1.008434677E3
1.014321322E2,1.008427505E3
1.024935332E2,1.008416901E3
1.035549052E2,1.008413162E3
1.046162842E2,1.008413162E3
1.056776412E2,1.008420944E3
1.067390042E2,1.008424911E3
1.078003992E2,1.008431015E3
1.088617602E2,1.008431396E3
1.099231292E2,1.008431015E3
1.109845832E2,1.008431396E3
1.120460602E2,1.008432465E3
1.131074692E2,1.008439484E3
1.141689142E2,1.008441925E3
1.152303202E2,1.008443909E3
1.162917322E2,1.008444290E3
1.173531432E2,1.008444290E3
1.184145942E2,1.008442841E3
1.194760352E2,1.008442841E3
1.205374642E2,1.008446198E3
1.215989152E2,1.008450012E3
1.226603282E2,1.008453293E3
1.237217662E2,1.008455200E3
1.247831912E2,1.008458023E3
1.258446732E2,1.008458252E3
1.269061472E2,1.008459473E3
1.279676082E2,1.008460770E3
1.290290282E2,1.008463821E3
1.300904372E2,1.008465805E3
1.311518002E2,1.008465805E3
1.322131922E2,1.008465576E3
1.332745652E2,1.008465576E3
1.343359772E2,1.008465347E3
1.353973942E2,1.008464050E3
1.364588262E2,1.008464050E3
1.375202172E2,1.008466797E3
1.385816252E2,1.008467712E3
1.396430862E2,1.008469315E3
1.407044962E2,1.008469925E3
1.417659142E2,1.008469925E3
1.428273272E2,1.008467636E3
1.438887682E2,1.008463821E3
1.449502332E2,1.008457565E3
1.460116702E2,1.008454361E3
1.470730692E2,1.008446808E3
1.481345362E2,1.008445129E3
1.491959592E2,1.008444290E3
1.502573512E2,1.008443069E3
1.513187892E2,1.008443069E3
1.523802122E2,1.008442307E3
1.534416242E2,1.008443832E3
1.545030452E2,1.008444977E3
1.555644282E2,1.008448563E3
1.566258192E2,1.008451614E3
1.576871652E2,1.008454666E3
1.587485492E2,1.008454666E3
1.598099192E2,1.008456345E3
1.608712802E2,1.008456879E3
1.619326352E2,1.008458176E3
1.629939972E2,1.008461609E3
1.640553332E2,1.008464279E3
1.651166392E2,1.008466339E3
1.661779902E2,1.008466339E3
1.672393492E2,1.008465805E3
1.683007002E2,1.008464737E3
1.693621002E2,1.008463821E3
1.704235092E2,1.008463440E3
1.714849262E2,1.008460312E3
1.725463392E2,1.008457947E3
1.736077172E2,1.008452911E3
1.746690532E2,1.008445816E3
1.757303822E2,1.008438263E3
1.767917212E2,1.008434601E3
1.778530712E2,1.008430634E3
1.789144072E2,1.008430634E3
1.799757062E2,1.008431396E3
1.810370162E2,1.008434143E3
1.820983122E2,1.008434448E3
1.831596382E2,1.008435211E3
1.842209552E2,1.008434448E3
1.852822482E2,1.008434219E3
1.863435422E2,1.008432312E3
1.874048802E2,1.008432312E3
1.884661802E2,1.008433304E3
1.895274902E2,1.008434372E3
1.905888262E2,1.008436661E3
1.916501862E2,1.008442307E3
1.927115412E2,1.008448486E3
1.937729302E2,1.008452911E3
1.948342682E2,1.008458405E3
1.958956032E2,1.008467407E3
1.969569332E2,1.008473587E3
1.980182702E2,1.008476334E3
1.990796042E2,1.008479233E3
2.001409422E2,1.008480988E3
2.012022612E2,1.008480988E3
2.022635972E2,1.008479691E3
2.033249572E2,1.008479309E3
2.043861962E2,1.008479309E3
2.054474742E2,1.008479462E3
2.065087632E2,1.008479462E3
2.075700742E2,1.008477707E3
2.086313662E2,1.008474655E3
2.096926542E2,1.008474579E3
2.107539412E2,1.008469620E3
2.118153012E2,1.008462372E3
2.128766232E2,1.008458557E3
2.139379392E2,1.008453369E3
2.149992582E2,1.008448029E3
2.160605782E2,1.008444672E3
2.171219302E2,1.008442612E3
2.181832452E2,1.008441925E3
2.192445802E2,1.008441925E3
2.203059612E2,1.008440094E3
2.213673672E2,1.008437347E3
2.224287812E2,1.008433838E3
2.234901832E2,1.008430405E3
2.245515792E2,1.008424988E3
2.256129582E2,1.008424988E3
2.266743352E2,1.008427277E3
2.277356642E2,1.008433990E3
2.287969802E2,1.008437958E3
2.298583652E2,1.008438187E3
2.309197302E2,1.008438187E3
2.319810552E2,1.008422775E3
2.330423882E2,1.008403091E3
2.341037482E2,1.008387909E3
2.351651522E2,1.008385773E3
2.362265452E2,1.008385773E3
2.372879632E2,1.008395844E3
2.383493812E2,1.008408737E3
2.394107192E2,1.008430634E3
2.404720602E2,1.008448563E3
2.415334032E2,1.008458252E3
2.425947182E2,1.008471069E3
2.436560692E2,1.008486557E3
2.447174182E2,1.008488083E3
2.457787552E2,1.008488083E3
2.468400932E2,1.008486404E3
2.479013872E2,1.008484573E3
2.489626972E2,1.008477783E3
2.500240402E2,1.008469162E3
2.510853882E2,1.008464050E3
2.521467762E2,1.008463211E3
2.532082132E2,1.008463211E3
2.542695822E2,1.008466873E3
2.553309232E2,1.008480301E3
2.563922282E2,1.008487015E3
2.574535982E2,1.008487625E3
2.585149332E2,1.008487625E3
2.595762462E2,1.008478622E3
2.606376182E2,1.008470230E3
2.616989982E2,1.008466797E3
2.627603542E2,1.008466797E3
2.638217642E2,1.008485336E3
2.648831112E2,1.008499908E3
2.659444642E2,1.008516769E3
2.670058672E2,1.008544769E3
2.680672352E2,1.008544769E3
2.691285912E2,1.008533936E3
2.701898852E2,1.008525314E3
2.712511912E2,1.008515701E3
2.723124992E2,1.008495941E3
2.733738282E2,1.008472900E3
2.744351942E2,1.008470612E3
2.754965662E2,1.008469620E3
2.765579292E2,1.008459930E3
2.776192882E2,1.008454132E3
2.786806192E2,1.008449936E3
2.797419682E2,1.008444901E3
2.808032982E2,1.008440247E3
2.818646572E2,1.008432999E3
2.829260202E2,1.008422394E3
2.839873982E2,1.008422394E3
2.850487162E2,1.008424301E3
2.861100572E2,1.008431854E3
2.871713632E2,1.008442764E3
2.882326782E2,1.008449402E3
2.892939892E2,1.008449402E3
2.903553312E2,1.008436508E3
2.914167092E2,1.008424454E3
2.924780832E2,1.008417587E3
2.935394302E2,1.008417587E3
2.946007732E2,1.008423615E3
2.956620822E2,1.008429413E3
2.967233812E2,1.008436356E3
2.977847032E2,1.008436356E3
2.988460472E2,1.008433380E3
2.999073492E2,1.008429108E3
3.009686792E2,1.008428574E3
3.020300132E2,1.008427200E3
3.030913122E2,1.008421631E3
3.041526042E2,1.008416748E3
3.052139112E2,1.008410568E3
3.062752312E2,1.008402634E3
3.073365652E2,1.008394623E3
3.083979322E2,1.008389206E3
3.094592492E2,1.008385162E3
3.105205822E2,1.008381577E3
3.115819772E2,1.008379517E3
3.126432822E2,1.008376694E3
3.137045622E2,1.008374252E3
3.147658292E2,1.008372345E3
3.158270962E2,1.008367004E3
3.168884332E2,1.008355408E3
3.179497662E2,1.008339691E3
3.190110862E2,1.008329163E3
3.200723712E2,1.008315277E3
3.211337302E2,1.008303452E3
3.221950142E2,1.008303452E3
3.232562742E2,1.008314362E3
3.243176182E2,1.008326263E3
3.253789272E2,1.008337097E3
3.264402302E2,1.008354568E3
3.275015392E2,1.008371277E3
3.285628942E2,1.008383408E3
3.296242582E2,1.008390579E3
3.306856032E2,1.008400955E3
3.317468722E2,1.008410568E3
3.328082282E2,1.008416901E3
3.338695972E2,1.008423080E3
3.349310112E2,1.008430405E3
3.359924292E2,1.008435287E3
3.370538102E2,1.008439865E3
3.381151582E2,1.008445740E3
3.391764832E2,1.008448563E3
3.402378312E2,1.008451920E3
3.412991672E2,1.008454971E3
3.423605132E2,1.008460083E3
3.434218762E2,1.008464661E3
3.444832742E2,1.008470764E3
3.455446832E2,1.008477173E3
3.466060992E2,1.008484879E3
3.476674872E2,1.008486404E3
3.487289032E2,1.008486404E3
3.497903372E2,1.008480301E3
3.508517062E2,1.008471222E3
3.519130672E2,1.008460770E3
3.529744162E2,1.008457947E3
3.540357822E2,1.008457947E3
3.550971582E2,1.008469086E3
3.561585182E2,1.008479233E3
3.572198862E2,1.008488541E3
3.582812742E2,1.008488541E3
3.593426462E2,1.008486633E3
3.604040352E2,1.008477707E3
3.614654182E2,1.008470459E3
3.625268172E2,1.008461609E3
3.635881552E2,1.008452911E3
3.646494562E2,1.008445969E3
3.657107662E2,1.008439178E3
3.667720762E2,1.008429794E3
3.678333422E2,1.008422470E3
