"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.631030798E-1,5.233509212E1,4.866932073E0,4.545739591E0,NaN,NaN,3.764404806E1,2.705807495E1
2.282920718E0,5.233496115E1,4.866941038E0,2.889065284E0,0.000000000E0,NaN,3.523872345E1,1.047132797E2
3.282929420E0,5.233480617E1,4.866873811E0,5.087329490E-1,6.850782037E-1,NaN,1.789330198E1,2.400000095E0
4.282937288E0,5.233480797E1,4.866895911E0,4.054209968E-1,6.850782037E-1,5.532885237E1,1.287039882E1,2.400000095E0
5.282945156E0,5.233481995E1,4.866924602E0,3.564728317E-1,1.199248075E0,5.483840722E1,9.140692449E0,2.400000095E0
6.282960534E0,5.233482308E1,4.866958006E0,2.040447625E-1,1.120234966E0,7.163077564E1,7.148143987E0,2.400000095E0
7.282971740E0,5.233481671E1,4.866974501E0,1.979896544E-1,1.221433282E0,7.326286300E1,5.986353672E0,2.400000095E0
8.212976694E0,5.233481456E1,4.867003065E0,-3.788148871E-2,1.194038630E0,7.762457399E1,5.024698581E0,2.400000095E0
9.212989688E0,5.233480650E1,4.867034938E0,-1.237840880E-1,1.221433282E0,7.169471304E1,4.282566270E0,2.400000095E0
1.021300387E1,5.233480136E1,4.867064332E0,-4.105876975E-2,1.226577878E0,7.517351963E1,3.855148531E0,2.400000095E0
1.121299517E1,5.233479990E1,4.867087185E0,1.459835944E-1,1.305911660E0,8.107870994E1,3.481161808E0,2.400000095E0
1.221299851E1,5.233479791E1,4.867109741E0,3.033553232E-1,1.368944645E0,7.665466664E1,3.144283161E0,2.400000095E0
1.321300328E1,5.233480178E1,4.867131955E0,4.008632592E-1,1.368944645E0,8.152883990E1,2.914061789E0,2.400000095E0
1.421300852E1,5.233480296E1,4.867151003E0,3.950986050E-1,1.507946968E0,8.249464914E1,2.732686066E0,2.400000095E0
1.521300852E1,5.233480473E1,4.867172936E0,3.950988511E-1,1.507946968E0,8.249466650E1,1.421249630E1,1.012056235E1
1.621301556E1,5.233480335E1,4.867195227E0,4.592718547E-1,1.443495393E0,8.452764431E1,1.420494210E1,1.013116248E1
1.721301436E1,5.233480367E1,4.867214226E0,5.049098404E-1,1.443495393E0,8.988612586E1,1.420386124E1,1.013267778E1
1.821302164E1,5.233480366E1,4.867237236E0,5.161472671E-1,1.398645043E0,9.387582321E1,1.421700221E1,1.011423162E1
